Plot	Analyser	Subplot number	Position length (cm)	Position width (cm)	Permafrost	Soil type	Total cover (%)	Vegetation height 1 (cm)	Vegetation height 2 (cm)	Vegetation height 3 (cm)	Vegetation height 4 (cm)	Biomass	Carbon (%)	Nitrogen (%)	pH	Soil depth (cm)	Soil temperature 1	Soil temperature 2	Soil temperature 3	Soil compaction 1	Soil compaction 2	Soil compaction 3	Moisture	Topography	Stress condition	Images	Comments	Insert user	Insert time	Update user	Update time
13098 - Vöktun náttúruverndarsvæða - DettifA-S2 - 25-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	4	22	0	false		50	2	4	0	3												Þurrlendi	Jafnlendi	2 Gróðurþekja tapast	6143-6144	Upphaf sniðs í austur og endir í vestur. Rammar lagðir niður sunnan við snið.	nna.stella	04-11-2021 13:38	nna.stella	04-11-2021 14:50
13098 - Vöktun náttúruverndarsvæða - DettifA-S3 - 25-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	5	26	0	false		40	0	0	0	0												Þurrlendi	Jafnlendi	2 Gróðurþekja tapast	6160-6161	Upphaf sniðs í NA en endir í SV. Rammar lagðir niður sunnan við snið.	nna.stella	04-11-2021 13:56	nna.stella	04-11-2021 14:52
13098 - Vöktun náttúruverndarsvæða - DettifV-S1 - 16-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	2	6	0	false		50	0	0	14	1												Þurrlendi	Jafnlendi	2 Gróðurþekja tapast	5619	Upphaf sniðs í suður og endir í norður. Rammar lagðir niður austan við snið.	nna.stella	04-11-2021 14:07	nna.stella	04-11-2021 14:53
13098 - Vöktun náttúruverndarsvæða - Herdubl-S2 - 12-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	1	5	0	false		100	4	3	5	4												Þurrlendi	Jafnlendi	1 Lítið álag	5471	Upphaf sniðs er í NV en endir í SA. Liggur yfir göngustíg í gegnum tjaldsvæði. Rammar settir niður austan við band.	nna.stella	04-11-2021 14:57		
13098 - Vöktun náttúruverndarsvæða - Herdubl-S2 - 12-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	2	6	0	false		100	1	5	1	4												Þurrlendi	Jafnlendi	2 Gróðurþekja tapast	5472	Upphaf sniðs er í NV en endir í SA. Liggur yfir göngustíg í gegnum tjaldsvæði. Rammar settir niður austan við band.	nna.stella	04-11-2021 14:59		
13098 - Vöktun náttúruverndarsvæða - Herdubl-S2 - 12-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	3	8	0	false		100	3	3	2	2												Þurrlendi	Jafnlendi	1 Lítið álag	5473	Upphaf sniðs er í NV en endir í SA. Liggur yfir göngustíg í gegnum tjaldsvæði. Rammar settir niður austan við band.	nna.stella	04-11-2021 15:01		
13098 - Vöktun náttúruverndarsvæða - Herdubl-S2 - 12-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	4	11	0	false		50	2	1	0	0												Þurrlendi	Jafnlendi	3 Gróðurþekja að mestu horfin	5474	Upphaf sniðs er í NV en endir í SA. Liggur yfir göngustíg í gegnum tjaldsvæði. Rammar settir niður austan við band.	nna.stella	04-11-2021 15:04		
13098 - Vöktun náttúruverndarsvæða - Herdubl-S2 - 12-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	5	12	0	false		20	1	2	0	0												Þurrlendi	Jafnlendi	3 Gróðurþekja að mestu horfin	5475	Upphaf sniðs er í NV en endir í SA. Liggur yfir göngustíg í gegnum tjaldsvæði. Rammar settir niður austan við band.	nna.stella	04-11-2021 15:06		
13098 - Vöktun náttúruverndarsvæða - Herdubl-S2 - 12-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	6	16	0	false		100	6	6	3	6												Þurrlendi	Jafnlendi	1 Lítið álag	5476	Upphaf sniðs er í NV en endir í SA. Liggur yfir göngustíg í gegnum tjaldsvæði. Rammar settir niður austan við band.	nna.stella	04-11-2021 15:08		
13098 - Vöktun náttúruverndarsvæða - Herdubl-S3 - 12-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	1	8	0	false		100	2	3	3	2												Þurrlendi	Jafnlendi	0 Ekkert álag	5480	Upphaf sniðs er í norður og endir í suður. Rammar lagðir niður austan við bandið.	nna.stella	04-11-2021 15:10		
13098 - Vöktun náttúruverndarsvæða - Herdubl-S3 - 12-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	3	19	0	false		100	14	11	5	15												Þurrlendi	Jafnlendi	0 Ekkert álag	5482	Upphaf sniðs er í norður og endir í suður. Rammar lagðir niður austan við bandið.	nna.stella	04-11-2021 15:14		
13098 - Vöktun náttúruverndarsvæða - Herdubl-S3 - 12-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	4	20	0	false		100	5	13	11	9												Þurrlendi	Jafnlendi	0 Ekkert álag	5483	Upphaf sniðs er í norður og endir í suður. Rammar lagðir niður austan við bandið.	nna.stella	04-11-2021 15:17		
13098 - Vöktun náttúruverndarsvæða - Herdubl-S3 - 12-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	5	23	0	false		100	6	9	36	10												Þurrlendi	Jafnlendi	0 Ekkert álag	5484	Upphaf sniðs er í norður og endir í suður. Rammar lagðir niður austan við bandið.	nna.stella	04-11-2021 15:19		
13098 - Vöktun náttúruverndarsvæða - Herdubl-S3 - 12-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	6	24	0	false		100	9	7	5	10												Þurrlendi	Jafnlendi	0 Ekkert álag	5485	Upphaf sniðs er í norður og endir í suður. Rammar lagðir niður austan við bandið.	nna.stella	04-11-2021 15:20		
13098 - Vöktun náttúruverndarsvæða - ÞR-FL-01 - 30-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	0			false												26.16										Olga Kolbrún og Brynjólfur Brynjólfsson komu einnig að vettvagnsvinnu. Jarðhiti mældur að ofan og niður. 32; 22; 25,2; 29; 22,6	nna.stella	30-11-2021 14:17	nna.stella	30-11-2021 14:48
13098 - Vöktun náttúruverndarsvæða - RN-65-02+ - 20-07-2022	Anna Bára Másdóttir (anna.b.masdottir@ni.is)	5	2970	-330	false	Lífræn jörð	100	20	27	29	27					53							Þurrlendi	Jafnlendi				nsv.annabara	26-07-2022 10:42		
13098 - Vöktun náttúruverndarsvæða - RN-65-02+ - 20-07-2022	Anna Bára Másdóttir (anna.b.masdottir@ni.is)	6	3510	380	false	Lífræn jörð	95	15	24	13	13					37							Þurrlendi	Jafnlendi				nsv.annabara	26-07-2022 10:42		
13098 - Vöktun náttúruverndarsvæða - HF-65-08 - 08-07-2022	Guðrún Óskarsdóttir (gudrun@na.is)	1	960	-270	false	Lífræn jörð	100	19	30	21	12					115							Mýri	Jafnlendi				nattsa.holmfridur	04-08-2022 15:28		
13098 - Vöktun náttúruverndarsvæða - RN-65-03 - 24-08-2022	Anna Bára Másdóttir (anna.b.masdottir@ni.is)	6	3220	-200	false	Sandjörð	92	43	3	6	9					66							Þurrlendi	Jafnlendi				nsv.annabara	29-08-2022 10:30		
